Requirement ID,Title,Type,Satisfies,Implemented By,Tested By,Has Implementation,Has Tests
REQ_ARCH_001,Modular Architecture,requirement,feat_req_someip_2; feat_req_someip_3; feat_req_someip_4; feat_req_someip_14; feat_req_someip_15; feat_req_someip_697,CODE_event_publisher_events_28; CODE_event_subscriber_events_28; CODE_rpc_client_rpc_30; CODE_rpc_server_rpc_27; CODE_sd_client_sd_39; CODE_sd_message_sd_30; CODE_sd_server_sd_41; CODE_types_someip_25,TC_test_someip_system_SomeIpSystemTest; TC_test_events_EventsTest; TC_test_message_MessageTest; TC_test_rpc_RpcTest; TC_test_sd_SdTest; TC_test_serialization_21; TC_test_tp_TpTest; TC_test_echo_integration_74; TC_test_e2e_system_2; TC_test_full_stack_integration_1,Yes,Yes
REQ_ARCH_002,Thread Safety,requirement,,CODE_session_manager_core_26; CODE_event_publisher_events_28; CODE_event_subscriber_events_28; CODE_rpc_client_rpc_30; CODE_rpc_server_rpc_27; CODE_sd_client_sd_39; CODE_sd_server_sd_41,TC_test_platform_threading_14; TC_test_rpc_RpcTest; TC_test_sd_SdTest; TC_test_session_manager_SessionManagerTest; TC_SM_REMOVE_001; TC_SM_REMOVE_002; TC_SM_GET_001; TC_SM_MULTI_001; TC_SM_STATE_001; TC_SM_STATE_002; TC_SM_ACTIVITY_001; TC_SM_ACTIVITY_002; TC_SM_EXPIRY_001; TC_SM_EXPIRY_002; TC_SM_COUNT_001; TC_SM_STRUCT_001; TC_SM_STRUCT_002; TC_SM_STRUCT_003; TC_SM_STRUCT_004; TC_test_tp_TpTest; TC_test_e2e_system_2; TC_test_full_stack_integration_1,Yes,Yes
REQ_ARCH_003,Safe Memory Management,requirement,,CODE_session_manager_core_26,TC_test_message_MessageTest; TC_test_session_manager_SessionManagerTest,Yes,Yes
REQ_ARCH_004,Consistent Error Handling,requirement,,CODE_result_common_11; CODE_result_common_22,TC_E2E_INT_005,Yes,Yes
REQ_ARCH_005,Coding Standards Compliance,requirement,feat_req_someip_105; feat_req_someip_109; feat_req_someip_449; feat_req_someip_472,CODE_result_common_22,TC_test_message_MessageTest,Yes,Yes
REQ_ARCH_006,CMake Build System,requirement,,CODE_result_common_22,TC_test_message_MessageTest,Yes,Yes
REQ_ARCH_007,Comprehensive Testing,requirement,,CODE_result_common_22,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_001,Receive Longer Messages Gracefully,requirement,feat_req_someipcompat_1198; feat_req_someipcompat_1199; feat_req_someipcompat_1196; feat_req_someipcompat_1205,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_001_E01,Error - Forward Compatibility Length Clamp,requirement,REQ_COMPAT_001,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_002,Default Values for Missing Parameters,requirement,feat_req_someipcompat_1200,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_003,Drop Unknown Messages,requirement,feat_req_someipcompat_1201; feat_req_someip_808,CODE_rpc_server_rpc_118,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_003_E01,Error - Unknown Message Dropped Count,requirement,REQ_COMPAT_003,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_004,Open Service Instance Access,requirement,feat_req_someipcompat_1202,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_005,FindService Wildcard Minor Version,requirement,feat_req_someipcompat_1197; feat_req_someipcompat_1216,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_010,Multi-Version Service Hosting,requirement,feat_req_someipcompat_714; feat_req_someipcompat_800; feat_req_someipcompat_801; feat_req_someipcompat_712; feat_req_someipcompat_713,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_010_E01,Error - Incompatible Major Version,requirement,REQ_COMPAT_010,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_011,Multi-Version Client Discovery,requirement,feat_req_someipcompat_802; feat_req_someipcompat_803; feat_req_someipcompat_804,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_020,Reserved Service ID Table,requirement,feat_req_someipids_505; feat_req_someipids_554; feat_req_someipids_504,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_020_E01,Error - Reserved Service ID in Application Message,requirement,REQ_COMPAT_020,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_021,Reserved Instance ID Table,requirement,feat_req_someipids_529,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_022,Reserved Method ID and Event ID Table,requirement,feat_req_someipids_636,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_023,Reserved Eventgroup ID Table,requirement,feat_req_someipids_555,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_COMPAT_024,Service 0xFFFF Method IDs,requirement,feat_req_someipids_530; feat_req_someipids_664; feat_req_someipids_875,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
